Id	Kanji	Meaning	Onyomi	Kunyomi	PageNo
903	振	SWING	シン	ふ.る ・ ぶ.る ・ ふ.り ・ -ぶ.り ・ ふ.るう ・ ふ.れる	258
904	久	OF LONG DURATION	キュウ ・ ク	ひさ.しい	258
905	賑	FLOURISH	シン	にぎ.わう ・ にぎ.やか	259
906	丘	HILL	キュウ	おか	259
907	兵	SOLDIER	ヘイ ・ ヒョウ		259
908	岳	HIGH MOUNTAIN	ガク	たけ	259
909	浜	BEACH	ヒン	はま	260
910	舎	HUT	シャ		260
911	再	AGAIN	サイ ・ サ	ふたた.び	260
912	虎	TIGER	コ	とら	260
913	寅	THE TIGER	イン	とら	261
914	演	PERFORM	エン		261
915	黄	YELLOW	コウ ・ オウ	き ・ こ-	261
916	横	SIDEWAYS ・ ARBITRARY	オウ	よこ	261
917	構	CONSTRUCT ・ MIND	コウ	かま.える ・ かま.う	262
918	講	LECTURE	コウ		262
919	購	PURCHASE	コウ		262
920	溝	CHANNEL	コウ	みぞ ・ どぶ*	262
921	仮	TEMPORARY ・ FAKE	カ ・ ケ	かり ・ かり-	263
922	片	FRAGMENT ・ ONE OF TWO	ヘン	かた- ・ かた	263
923	版	PRINTING PLATE ・ PUBLISHING	ハン		263
924	板	BOARD ・ PLATE	ハン ・ バン	いた	263
925	販	ENGAGE IN SALES	ハン		264
926	義	RIGHTEOUSNESS ・ MEANING ・ SUBSTITUTE	ギ		264
927	議	DISCUSS ・ LEGISLATIVE BODY	ギ		264
928	儀	CEREMONY	ギ		264
929	犠	SACRIFICE	ギ		265
930	牲	SACRIFICE	セイ		265
931	旨	PURPORT	シ	むね ・ うま.い*	265
932	指	FINGER ・ POINT	シ	ゆび ・ さ.す ・ -さ.し	265
933	揮	BRANDISH	キ		266
934	輝	SHINE BRILLIANTLY	キ	かがや.く	266
935	刺	PIERCE	シ	さ.す ・ さ.さる ・ さ.し ・ さし	266
936	策	SCHEME ・ MEASURE	サク		266
937	差	DIVERGENCE	サ	さ.す ・ さ.し	267
938	着	PUT ON ・ ARRIVE ・ STICK	チャク ・ ジャク	き.る ・ -ぎ ・ き.せる ・ -きせ ・ つ.く ・ つ.ける	267
939	看	OBSERVE	カン		267
940	到	ARRIVE	トウ		267
941	倒	TOPPLE	トウ	たお.れる ・ -だお.れ ・ たお.す	268
942	論	ARGUE ・ THEORY	ロン		268
943	倫	MORALS	リン		268
944	輪	WHEEL ・ RING	リン	は	268
945	輸	TRANSPORT	ユ		269
946	諭	ADMONISH	ユ	さと.す	269
947	愉	PLEASED	ユ		269
948	癒	HEAL	ユ	い.やす ・ い.える	269
949	台	STAND ・ COUNTER FOR MACHINES AND VEHICLES ・ TAIWAN	ダイ ・ タイ		270
950	治	GOVERN ・ CURE	ジ ・ チ	おさ.める ・ おさ.まる ・ なお.る ・ なお.す	270
951	冶	WORK METALS	ヤ		270
952	療	TREAT	リョウ		270
953	僚	COLLEAGUE	リョウ		271
954	瞭	CLEAR	リョウ		271
955	寮	DORMITORY	リョウ		271
956	始	BEGIN	シ	はじ.める ・ -はじ.める ・ はじ.まる	271
957	終	END	シュウ	お.わる ・ -お.わる ・ お.える	272
958	了	FINISH ・ COMPREHEND	リョウ		272
959	承	AGREE TO ・ RECEIVE	ショウ	うけたまわ.る	272
960	蒸	STEAM	ジョウ	む.す ・ む.れる ・ む.らす	272
961	舞	DANCE	ブ	ま.う ・ -ま.う ・ まい	273
962	隣	NEIGHBOR	リン	とな.る ・ となり	273
963	瞬	BLINK	シュン	またた.く	273
964	夢	DREAM	ム	ゆめ	273
965	枝	BRANCH	シ	えだ	274
966	技	SKILL	ギ	わざ ・	274
967	伎	PERFORMANCE	キ ・ ギ*		274
968	岐	DIVERGE	キ		274
969	峠	MOUNTAIN PASS		とうげ	275
970	阜	MOUND	フ		275
971	急	URGENT ・ HURRY ・ SUDDEN	キュウ	いそ.ぐ ・ いそ.ぎ	275
972	争	CONTEND	ソウ	あらそ.う	275
973	情	EMOTION ・ ACTUAL CONDITIONS	ジョウ ・ セイ	なさ.け	276
974	清	CLEAR	セイ ・ ショウ	きよ.い ・ きよ.まる ・ きよ.める	276
975	晴	CLEAR SKY	セイ	は.れる ・ は.れ ・ は.れ- ・ -ば.れ ・ は.らす	276
976	精	REFINED ・ ESSENCE ・ SPIRIT	セイ ・ ショウ		276
977	請	REQUEST	セイ ・ シン	こ.う ・ う.ける	277
978	静	QUIET	セイ ・ ジョウ	しず- ・ しず.か ・ しず.まる ・ しず.める	277
979	浄	CLEAN	ジョウ		277
980	算	CALCULATE	サン		277
981	答	ANSWER	トウ	こた.える ・ こた.え	278
982	符	SYMBOL	フ		278
983	博	"EXTENSIVE ・ DOCTOR, Ph.D."	ハク ・ バク		278
984	縛	BIND	バク	しば.る	278
985	簿	RECORD BOOK	ボ		279
986	薄	THIN	ハク	うす.い ・ うす- ・ -うす ・ うす.める ・ うす.まる ・ うす.らぐ ・ うす.ら- ・ うす.れる	279
987	采	GATHER	サイ		279
988	菜	VEGETABLE	サイ	な	279
989	採	PICK ・ GATHER	サイ	と.る	280
990	彩	BEAUTIFUL COLORING	サイ	いろど.る	280
991	杉	CRYPTOMERIA		すぎ	280
992	街	CITY QUARTER	ガイ ・ カイ	まち	280
993	術	PRACTICAL ART	ジュツ		281
994	述	STATE	ジュツ		281
995	余	REMAINING ・ EXCESS	ヨ	あま.る ・ あま.り ・ あま.す	281
996	除	RID OF	ジョ ・ ジ	のぞ.く	281
997	徐	SLOWLY	ジョ		282
998	叙	DESCRIBE	ジョ		282
999	斜	OBLIQUE	シャ	なな.め	282
1000	途	WAY	ト		282
1001	塗	APPLY ON A SURFACE	ト	ぬ.る ・ ぬ.り	283
1002	漆	LACQUER	シツ	うるし	283
1003	仙	HERMIT	セン		283
1004	垂	HANG DOWN	スイ	た.れる ・ た.らす ・ た.れ ・ -た.れ	283
1005	乗	RIDE	ジョウ	の.る ・ -の.り ・ の.せる	284
1006	兼	COMBINE ・ CANNOT	ケン	か.ねる ・ -か.ねる	284
1007	剰	SURPLUS	ジョウ		284
1008	睡	SLEEP	スイ		284
1009	眠	SLEEP	ミン	ねむ.る ・ ねむ.い	285
1010	郵	MAIL	ユウ		285
1011	錘	SPINDLE	スイ	つむ	285
1012	華	FLOWER ・ MAGNIFICENT ・ CHINA	カ ・ ケ	はな	285
1013	侵	INVADE	シン	おか.す	286
1014	浸	SOAK	シン	ひた.す ・ ひた.る	286
1015	寝	GO TO SLEEP	シン	ね.る ・ ね.かす ・ ね.かせる	286
1016	掃	SWEEP	ソウ	は.く	286
1017	婦	ADULT WOMAN	フ		287
1018	帰	RETURN	キ	かえ.る ・ かえ.す	287
1019	戻	RETURN	レイ	もど.す ・ もど.る	287
1020	涙	TEAR	ルイ	なみだ	287
1021	射	SHOOT	シャ	い.る ・ さ.す*	288
1022	謝	THANK ・ APOLOGIZE	シャ	あやま.る	288
1023	討	STUDY ・ SUPPRESS BY ARMED FORCE	トウ	う.つ	288
1024	訂	REVISE	テイ		288
1025	打	STRIKE	ダ	う.つ ・ う.ち-	289
1026	撃	STRIKE	ゲキ	う.つ	289
1027	拭	WIPE	ショク	ふ.く ・ ぬぐ.う	289
1028	試	TRY	シ	こころ.みる ・ ため.す	289
1029	検	EXAMINE	ケン		290
1030	験	TEST	ケン ・ ゲン		290
1031	険	DANGEROUS ・ STEEP	ケン	けわ.しい	290
1032	倹	FRUGAL	ケン		290
1033	剣	SWORD	ケン	つるぎ	291
1034	谷	VALLEY	コク	たに	291
1035	欲	DESIRE	ヨク	ほっ.する ・ ほ.しい	291
1036	浴	BATHE	ヨク	あ.びる ・ あ.びせる	291
1037	容	COUNTENANCE ・ CONTAIN	ヨウ		292
1038	溶	DISSOLVE ・ MELT	ヨウ	と.ける ・ と.かす ・ と.く	292
1039	俗	POPULAR	ゾク		292
1040	裕	ABUNDANT	ユウ		292
1041	寛	LENIENT	カン		293
1042	甘	SWEET	カン	あま.い ・ あま.える ・ あま.やかす	293
1043	紺	DARK BLUE	コン		293
1044	紅	CRIMSON	コウ ・ ク	べに ・ くれない	293
1045	攻	ATTACK	コウ	せ.める	294
1046	功	MERIT	コウ ・ ク		294
1047	巧	SKILLFUL	コウ	たく.み	294
1048	朽	DECAY	キュウ	くち.る	294
1049	枯	WITHER	コ	か.れる ・ か.らす	295
1050	汚	DIRTY	オ	けが.す ・ けが.れる ・ けが.らわしい ・ よご.す ・ よご.れる ・ きたな.い	295
1051	升	&lt;SHO&gt; (1.8L)	ショウ	ます	295
1052	弁	SPEAK ・ MANAGE ・ VALVE	ベン		295
1053	昇	ASCEND	ショウ	のぼ.る	296
1054	登	ASCEND ・ ATTEND ・ REGISTER	トウ ・ ト	のぼ.る	296
1055	澄	LIMPID	チョウ	す.む ・ す.ます ・ -す.ます	296
1056	充	FILL ・ ALLOT	ジュウ	あ.てる	296
1057	銃	GUN	ジュウ		297
1058	統	UNITE ・ INTERCONNECTED SYSTEM	トウ	す.べる	297
1059	流	FLOW ・ CURRENT ・ STYLE	リュウ ・ ル	なが.れる ・ なが.れ ・ なが.す ・ -なが.す	297
1060	硫	SULFUR	リュウ		297
1061	盲	BLIND	モウ		298
1062	忘	FORGET	ボウ	わす.れる	298
1063	忙	BUSY	ボウ	いそが.しい	298
1064	荒	WILD	コウ	あら.い ・ あら- ・ あ.れる ・ あ.らす ・ -あ.らし	298
1065	慌	FLURRIED	コウ	あわ.てる ・ あわ.ただしい	299
1066	望	HOPE ・ LOOK AFAR	ボウ ・ モウ	のぞ.む	299
1067	希	RARE ・ ASPIRE	キ	まれ*	299
1068	稀	RARE	キ ・ ケ	まれ	299
1069	括	LUMP TOGETHER	カツ		300
1070	拘	ARREST	コウ	かか.わる*	300
1071	拾	PICK UP	シュウ ・ ジュウ	ひろ.う	300
1072	捨	DISCARD	シャ	す.てる	300
1073	孤	SOLITARY	コ		301
1074	弧	ARC	コ		301
1075	弾	PROJECTILE ・ SPRING BACK	ダン	ひ.く ・ -ひ.き ・ はず.む ・ たま	301
1076	禅	ZEN	ゼン		301
1077	系	SYSTEM ・ LINEAGE	ケイ		302
1078	係	CONNECT ・ PERSON IN CHARGE	ケイ	かか.る ・ かかり ・ -がかり ・ かか.わる*	302
1079	孫	GRANDCHILD	ソン	まご	302
1080	懸	SUSPEND	ケン ・ ケ	か.ける ・ か.かる	302
1081	偏	ONE-SIDED	ヘン	かたよ.る	303
1082	遍	ALL OVER ・ COUNTER FOR TIMES	ヘン		303
1083	編	COMPILE ・ KNIT	ヘン	あ.む ・ -あ.み	303
1084	篇	VOLUME	ヘン		303
1085	普	WIDESPREAD	フ		304
1086	譜	SYSTEMATIC RECORD	フ		304
1087	職	EMPLOYMENT	ショク		304
1088	織	WEAVE	ショク ・ シキ	お.る ・ お.り ・ おり ・ -おり ・ -お.り	304
1089	識	DISCRIMINATE ・ KNOWLEDGE	シキ		305
1090	殉	DIE A MARTYR	ジュン		305
1091	退	RETREAT	タイ	しりぞ.く ・ しりぞ.ける	305
1092	眼	EYE	ガン ・ ゲン	まなこ ・ め*	305
1093	智	WISDOM	チ		306
1094	仁	HUMANENESS	ジン ・ ニ		306
1095	忍	BEAR	ニン	しの.ぶ ・ しの.ばせる	306
1096	認	RECOGNIZE	ニン	みと.める	306
1097	求	SEEK	キュウ	もと.める	307
1098	救	SAVE	キュウ	すく.う	307
1099	球	BALL	キュウ	たま	307
1100	屯	STATION TROOPS	トン		307
1101	純	PURE	ジュン		308
1102	鈍	DULL	ドン	にぶ.い ・ にぶ.る ・ にぶ-	308
1103	召	SUMMON	ショウ	め.す	308
1104	招	INVITE	ショウ	まね.く	308
1105	沼	MUDDY POND	ショウ	ぬま	309
1106	紹	INTRODUCE	ショウ		309
1107	詔	IMPERIAL EDICT	ショウ		309
1108	勅	IMPERIAL DECREE	チョク		309
1109	昭	LUMINOUS	ショウ		310
1110	照	ILLUMINATE ・ EXAMINE BY COMPARISON	ショウ	て.る ・ て.らす ・ て.れる	310
1111	超	SURPASS	チョウ	こ.える ・ こ.す	310
1112	越	GO BEYOND	エツ	こ.す ・ -こ.す ・ -ご.し ・ こ.える ・ -ご.え	310
1113	趣	PURPORT ・ FLAVOR	シュ	おもむき	311
1114	赴	PROCEED TO	フ	おもむ.く	311
1115	訃	DEATH REPORT	フ		311
1116	朴	SIMPLE	ボク		311
1117	掛	SET ・ HANG		か.ける ・ -か.ける ・ か.け ・ -か.け ・ -が.け ・ か.かる ・ -か.かる ・ -が.かる ・ か.かり ・ -が.かり ・ かかり ・ -がかり	312
1118	摘	PICK	テキ	つ.む	312
1119	滴	DROP	テキ	しずく ・ したた.る	312
1120	嫡	LEGITIMATE WIFE/CHILD	チャク		312
1121	適	FIT	テキ		313
1122	敵	ENEMY	テキ	かたき	313
1123	授	CONFER ・ INSTRUCT	ジュ	さず.ける ・ さず.かる	313
1124	援	AID	エン		313
1125	媛	DAMSEL	エン	ひめ	314
1126	緩	SLACK	カン	ゆる.い ・ ゆる.やか ・ ゆる.む ・ ゆる.める	314
1127	暖	WARM	ダン ・ ノン*	あたた.か ・ あたた.かい ・ あたた.まる ・ あたた.める	314
1128	観	VIEW	カン		314
1129	勧	URGE	カン	すす.める	315
1130	権	RIGHT ・ POWER	ケン ・ ゴン		315
1131	歓	JOYOUS	カン		315
1132	鶴	CRANE	カク*	つる	315
1133	確	CERTAIN	カク	たし.か ・ たし.かめる	316
1134	慢	ARROGANT ・ SLUGGISH	マン		316
1135	漫	RAMBLING ・ COMIC	マン		316
1136	卯	THE HARE	ボウ	う	316
1137	抑	SUPPRESS	ヨク	おさ.える	317
1138	仰	LOOK UP	ギョウ ・ コウ	あお.ぐ ・ おお.せ	317
1139	迎	WELCOME	ゲイ	むか.える	317
1140	柳	WILLOW	リュウ	やなぎ	317
1141	卵	EGG	ラン	たまご	318
1142	疎	SCATTERED ・ ESTRANGED	ソ	うと.い ・ うと.む	318
1143	速	QUICK	ソク	はや.い ・ はや- ・ はや.める ・ はや.まる ・ すみ.やか	318
1144	遅	SLOW ・ LATE	チ	おく.れる ・ おく.らす ・ おそ.い	318
1145	辻	CROSSROAD		つじ	319
1146	迅	SWIFT	ジン		319
1147	加	ADD	カ	くわ.える ・ くわ.わる	319
1148	減	DECREASE	ゲン	へ.る ・ へ.らす	319
1149	滅	EXTINGUISH	メツ	ほろ.びる ・ ほろ.ぶ ・ ほろ.ぼす	320
1150	威	MIGHT ・ THREATEN BY FORCE	イ		320
1151	嚇	INTIMIDATE	カク		320
1152	或	A CERTAIN	ワク	あ.る ・ ある.いわ	320
1153	惑	BEWILDERED	ワク	まど.う	321
1154	域	BOUNDED AREA	イキ		321
1155	収	TAKE IN	シュウ	おさ.める ・ おさ.まる	321
1156	納	PAY ・ ACCEPT ・ PUT IN PLACE	ノウ ・ ナッ- ・ ナ ・ ナン ・ トウ	おさ.める ・ -おさ.める ・ おさ.まる	321
1157	献	OFFER	ケン ・ コン		322
1158	貢	TRIBUTE	コウ ・ ク	みつ.ぐ	322
1159	貪	COVET	ドン	むさぼ.る	322
1160	貰	GET	セイ	もら.う	322
1161	貧	POOR	ヒン ・ ビン	まず.しい	323
1162	賃	WAGES ・ CHARGES	チン		323
1163	貸	LEND	タイ	か.す ・ か.し- ・ かし-	323
1164	貨	MONEY ・ GOODS	カ		323
1165	資	RESOURCES	シ		324
1166	賛	APPROVE OF ・ PRAISE	サン		324
1167	替	REPLACE	タイ	か.える ・ か.え- ・ か.わる	324
1168	潜	SUBMERGE ・ LURK	セン	ひそ.む ・ もぐ.る	324
1169	貿	TRADE	ボウ		325
1170	留	KEEP IN PLACE ・ STAY	リュウ ・ ル	と.める ・ -と.める ・ -ど.め ・ と.まる ・ とど.まる*	325
1171	溜	ACCUMULATE	リュウ	た.まる ・ た.める	325
1172	賀	CONGRATULATE	ガ		325
1173	架	LAY ACROSS	カ	か.ける ・ か.かる	326
1174	染	DYE	セン	そ.める ・ -ぞ.め ・ -ぞめ ・ そ.まる ・ し.みる ・ -じ.みる ・ し.み	326
1175	梨	PEAR	リ*	なし	326
1176	傑	PERSON OF EXCELLENCE	ケツ		326
1177	貴	NOBLE ・ YOUR HONORABLE	キ	たっと.い ・ とうと.い ・ たっと.ぶ ・ とうと.ぶ	327
1178	潰	CRUSH	カイ	つぶ.す ・ つぶ.れる	327
1179	遺	LEAVE BEHIND	イ ・ ユイ		327
1180	遣	DISPATCH ・ USE	ケン	つか.う ・ -つか.い ・ -ず.かい ・ つか.わす	327
1181	追	CHASE	ツイ	お.う	328
1182	迫	PRESS	ハク	せま.る	328
1183	泊	STAY OVERNIGHT	ハク	と.まる ・ と.める	328
1184	伯	OLDER SIBLING OF PARENT ・ COUNT	ハク		328
1185	拍	BEAT	ハク ・ ヒョウ		329
1186	弔	CONDOLE	チョウ	とむら.う	329
1187	沸	BOIL	フツ	わ.く ・ わ.かす	329
1188	煮	BOIL	シャ	に.る ・ -に ・ に.える ・ に.やす	329
1189	費	SPEND	ヒ	つい.やす ・ つい.える	330
1190	弟	YOUNGER BROTHER	テイ ・ ダイ ・ デ	おとうと	330
1191	第	ORDINAL NUMBER PREFIX	ダイ		330
1192	剃	SHAVE	テイ	そ.る ・ す.る	330
1193	兄	OLDER BROTHER	ケイ ・ キョウ	あに	331
1194	只	FREE OF CHARGE ・ JUST	シ	ただ ・ ただ-	331
1195	税	TAX	ゼイ		331
1196	鋭	SHARP	エイ	するど.い	331
1197	説	EXPLAIN ・ THEORY	セツ ・ ゼイ	と.く	332
1198	脱	REMOVE ・ ESCAPE FROM	ダツ	ぬ.ぐ ・ ぬ.げる	332
1199	閲	REVIEW	エツ		332
1200	祝	CELEBRATE	シュク ・ シュウ	いわ.う	332
1201	況	CONDITIONS	キョウ		333
1202	悦	DELIGHTED	エツ		333
1203	克	OVERCOME	コク		333
1204	競	COMPETE	キョウ ・ ケイ	きそ.う ・ せ.る	333
1205	姉	OLDER SISTER	シ	あね	334
1206	妹	YOUNGER SISTER	マイ	いもうと	334
1207	珠	PEARL	シュ		334
1208	殊	SPECIAL	シュ	こと	334
1209	序	INTRODUCTORY PART ・ ORDER	ジョ		335
1210	秩	ORDER	チツ		335
1211	迭	ALTERNATE	テツ		335
1212	喜	HAPPY	キ	よろこ.ぶ ・ よろこ.ばす	335
1213	善	GOOD	ゼン	よ.い	336
1214	繕	MEND	ゼン	つくろ.う	336
1215	膳	SMALL FOOD TABLE	ゼン		336
1216	憾	STRONGLY REGRET	カン		336
1217	恨	HOLD A GRUDGE	コン	うら.む ・ うら.めしい	337
1218	惜	REGRET	セキ	お.しい ・ お.しむ	337
1219	措	DISPOSE	ソ		337
1220	借	BORROW	シャク	か.りる	337
1221	錯	MIXED UP	サク		338
1222	曽	BEFORE	ソウ ・ ソ ・ ゾ		338
1223	増	INCREASE	ゾウ	ま.す ・ ま.し ・ ふ.える ・ ふ.やす	338
1224	層	STRATUM	ソウ		338
1225	憎	HATE	ゾウ	にく.む ・ にく.い ・ にく.らしい ・ にく.しみ	339
1226	僧	BONZE	ソウ		339
1227	贈	PRESENT A GIFT	ゾウ ・ ソウ	おく.る	339
1228	賄	BRIBE	ワイ	まかな.う	339
1229	賂	BRIBE	ロ		340
1230	賦	INSTALLMENT	フ		340
1231	賊	BANDIT	ゾク		340
1232	帯	BELT ・ WEAR	タイ	お.びる ・ おび	340
1233	滞	STAGNATE ・ STAY	タイ	とどこおる	341
1234	渋	NOT GO SMOOTHLY ・ ASTRINGENT	ジュウ	しぶ ・ しぶ.い ・ しぶ.る	341
1235	摂	TAKE IN ・ ACT AS REGENT	セツ	と.る*	341
1236	為	DO ・ SAKE	イ	ため* ・ な.す*	341
1237	偽	FALSIFY	ギ	いつわ.る ・ にせ	342
1238	参	PARTICIPATE ・ VISIT A HOLY PLACE	サン ・ シン*	まい.る	342
1239	惨	MISERABLE ・ CRUEL	サン ・ ザン	みじ.め	342
1240	呂	PHONETIC [RO]	ロ		342
1241	侶	COMPANION	リョ		343
1242	宮	ROYAL PALACE ・ SHINTO SHRINE	キュウ ・ グウ ・ ク	みや	343
1243	営	OPERATE ・ BARRACKS	エイ	いとな.む	343
1244	蛍	FIREFLY	ケイ	ほたる	343
1245	栄	FLOURISH ・ GLORY	エイ	さか.える ・ は.え ・ -ば.え ・ は.える	344
1246	誉	HONOR	ヨ	ほま.れ	344
1247	挙	NOMINATE ・ NOTEWORTHY ACT ・ RAISE	キョ	あ.げる ・ あ.がる	344
1248	拳	FIST	ケン ・ ゲン*	こぶし	344
1249	桜	CHERRY	オウ	さくら	345
1250	妥	COME TO TERMS	ダ		345
1251	咲	BLOOM		さ.く ・ -ざ.き	345
1252	朕	IMPERIAL WE	チン		345
1253	茎	STEM	ケイ	くき	346
1254	径	PATH ・ DIAMETER	ケイ		346
1255	怪	MYSTERIOUS	カイ ・ ケ*	あや.しい ・ あや.しむ	346
1256	軽	LIGHT	ケイ	かる.い ・ かろ.やか	346
1257	経	PASS THROUGH ・ MANAGE ・ SUTRA	ケイ ・ キョウ	へ.る ・ た.つ*	347
1258	斉	EQUAL	セイ		347
1259	斎	OBSERVE RELIGIOUS ABSTINENCE ・ STUDY	サイ		347
1260	済	SETTLE ・ RELIEVE	サイ	す.む ・ -ず.み ・ -ずみ ・ す.まない ・ す.ます ・ -す.ます ・ す.ませる	347
1261	剤	PREPARATION	ザイ		348
1262	剖	DISSECT	ボウ		348
1263	陪	ATTEND UPON A SUPERIOR	バイ		348
1264	培	CULTIVATE	バイ	つちか.う	348
1265	賠	COMPENSATE	バイ		349
1266	貼	STICK ON	チョウ ・ テン*	は.る ・ -ば.り	349
1267	粘	STICKY	ネン	ねば.る	349
1268	衡	BALANCE	コウ		349
1269	換	EXCHANGE	カン	か.える ・ -か.える ・ か.わる	350
1270	喚	CALL	カン		350
1271	絶	BREAK OFF ・ COME TO AN END ・ WITHOUT MATCH	ゼツ	た.える ・ た.やす ・ た.つ	350
1272	免	EXEMPTION	メン	まぬか.れる ・ まぬが.れる	350
1273	逸	LET SLIP	イツ		351
1274	勉	ENDEAVOR	ベン		351
1275	晩	EVENING	バン		351
1276	許	PERMIT	キョ	ゆる.す	351
1277	象	PHENOMENON ・ ELEPHANT	ショウ ・ ゾウ		352
1278	像	IMAGE	ゾウ		352
1279	彫	CARVE	チョウ	ほ.る ・ -ぼ.り	352
1280	景	SCENE	ケイ		352
1281	影	SHADOW	エイ	かげ	353
1282	撮	PHOTOGRAPH	サツ	と.る ・ -ど.り	353
1283	就	SET ABOUT	シュウ ・ ジュ	つ.く ・ つ.ける	353
1284	涼	COOL	リョウ	すず.しい ・ すず.む	353
1285	鯨	WHALE	ゲイ	くじら	354
1286	隔	SEPARATE	カク	へだ.てる ・ へだ.たる	354
1287	融	FUSE ・ FINANCE	ユウ		354
1288	肖	LIKENESS	ショウ		354
1289	消	EXTINGUISH ・ SPEND	ショウ	き.える ・ け.す	355
1290	硝	NITER	ショウ		355
1291	梢	TIP OF A TWIG	ショウ	こずえ	355
1292	削	CUT BY CHIPPING	サク	けず.る	355
1293	宵	EARLY EVENING	ショウ	よい	356
1294	宴	BANQUET	エン		356
1295	郷	HOMETOWN	キョウ ・ ゴウ	さと*	356
1296	饗	BANQUET	キョウ		356
1297	響	REVERBERATE	キョウ	ひび.く	357
1298	城	CASTLE	ジョウ	しろ	357
1299	誠	SINCERITY	セイ	まこと	357
1300	盛	PROSPER	セイ ・ ジョウ	も.る ・ さか.る ・ さか.ん	357
1301	旺	FLOURISHING	オウ		358
1302	盆	TRAY ・ BON FESTIVAL	ボン		358
1303	蓋	LID	ガイ	ふた	358
1304	盗	STEAL	トウ	ぬす.む	358
1305	盟	ALLIANCE	メイ		359
1306	塩	SALT	エン	しお	359
1307	傷	WOUND	ショウ	きず ・ いた.む ・ いた.める	359
1308	揚	RAISE HIGH ・ FRY	ヨウ	あ.げる ・ -あ.げ ・ あ.がる	359
1309	暢	FLUENT	チョウ		360
1310	陽	SUN ・ POSITIVE	ヨウ	ひ	360
1311	陰	SHADOW ・ NEGATIVE	イン	かげ ・ かげ.る	360
1312	隠	HIDE	イン	かく.す ・ かく.し- ・ かく.れる	360
1313	穏	CALM ・ MILD	オン	おだ.やか	361
1314	穂	SPIKE	スイ	ほ	361
1315	稲	RICE PLANT	トウ	いね ・ いな-	361
1316	愁	MELANCHOLY	シュウ	うれ.える ・ うれ.い	361
1317	裁	CUT OUT ・ JUDGE	サイ	た.つ ・ さば.く	362
1318	載	LOAD ・ PUT IN PRINT	サイ	の.せる ・ の.る	362
1319	栽	PLANTING	サイ		362
1320	赦	AMNESTY	シャ		362
1321	跡	TRACE	セキ	あと	363
1322	踪	TRACE	ソウ		363
1323	痕	SCAR	コン	あと	363
1324	蹴	KICK	シュウ	け.る	363
1325	踊	DANCE	ヨウ	おど.る ・ おど.り	364
1326	踏	TREAD	トウ	ふ.む ・ ふ.まえる	364
1327	躍	LEAP	ヤク	おど.る	364
1328	濯	RINSE	タク		364
1329	奇	UNUSUAL	キ		365
1330	寄	CONTRIBUTE ・ DRAW NEAR	キ	よ.る ・ -よ.り ・ よ.せる	365
1331	騎	RIDE ON HORSEBACK	キ		365
1332	椅	CHAIR	イ		365
1333	崎	PROMONTORY		さき	366
1334	埼	PROMONTORY	キ*	さい	366
1335	岬	CAPE		みさき	366
1336	模	PATTERN	モ ・ ボ		366
1337	膜	MEMBRANE	マク		367
1338	漠	DESERT ・ OBSCURE	バク		367
1339	幕	CURTAIN ・ SHOGUNATE	マク ・ バク		367
1340	墓	GRAVE	ボ	はか	367
1341	募	RAISE	ボ	つの.る	368
1342	暮	DUSK ・ LIVE	ボ	く.れる ・ く.らす	368
1343	慕	ADORE	ボ	した.う	368
1344	添	ADD TO	テン	そ.える ・ そ.う	368
1345	恭	RESPECTFUL	キョウ	うやうや.しい	369
1346	暴	VIOLENT ・ DISCLOSE	ボウ ・ バク	あば.く ・ あば.れる	369
1347	爆	EXPLODE	バク		369
1348	沿	ALONG(SIDE)	エン	そ.う ・ -ぞ.い	369
1349	礎	FOUNDATION STONE	ソ	いしずえ	370
1350	疑	DOUBT	ギ	うたが.う	370
1351	凝	CONGEAL	ギョウ	こ.る ・ こ.らす	370
1352	擬	IMITATE	ギ		370
1353	倣	COPY AFTER	ホウ	なら.う	371
1354	似	RESEMBLE	ジ	に.る	371
1355	俵	STRAW SACK	ヒョウ	たわら	371
1356	俺	I		おれ	371
1357	庵	HERMITAGE	アン	いおり	372
1358	僕	I ・ MANSERVANT	ボク		372
1359	撲	DEAL A BLOW	ボク		372
1360	叩	STRIKE	コウ	たた.く	372
1361	伐	CUT DOWN	バツ		373
1362	閥	CLIQUE	バツ		373
1363	闘	FIGHT	トウ	たたか.う	373
1364	闇	DARK	アン*	やみ	373
1365	閑	LEISURE ・ QUIET	カン		374
1366	脈	VEIN ・ PULSE	ミャク		374
1367	派	SECT ・ DISPATCH	ハ		374
1368	缶	CAN	カン		374
1369	揺	SHAKE	ヨウ	ゆ.れる ・ ゆ.る ・ ゆ.らぐ ・ ゆ.るぐ ・ ゆ.する ・ ゆ.さぶる ・ ゆ.すぶる	375
1370	謡	POPULAR SONG	ヨウ	うたい ・ うた.う	375
1371	遥	FAR	ヨウ	はる.か	375
1372	陶	POTTERY	トウ		375
1373	陳	SET FORTH	チン		376
1374	陣	BATTLE FORMATION ・ CAMP	ジン		376
1375	陥	FALL IN [INTO]	カン	おちい.る ・ おとしい.れる	376
1376	隆	PROSPER	リュウ		376
1377	降	DESCEND	コウ	お.りる ・ お.ろす ・ ふ.る ・ ふ.り	377
1378	峰	PEAK	ホウ	みね	377
1379	逢	MEET	ホウ	あ.う	377
1380	縫	SEW	ホウ	ぬ.う	377
1381	蜂	BEE	ホウ	はち	378
1382	蜜	HONEY	ミツ		378
