Id	Kanji	Meaning	Onyomi	Kunyomi	PageNo
235	粒	GRAIN	リュウ	つぶ	91
236	和	HARMONIOUS ・ PEACE ・ JAPAN	ワ ・ オ	やわ.らぐ ・ やわ.らげる ・ なご.む ・ なご.やか	91
237	私	PRIVATE ・ I	シ	わたくし ・ わたし	92
238	広	WIDE	コウ	ひろ.い ・ ひろ.まる ・ ひろ.める ・ ひろ.がる ・ ひろ.げる	92
239	細	SLENDER ・ MINUTE	サイ	ほそ.い ・ ほそ.る ・ こま.か ・ こまか.い	92
240	林	FOREST	リン	はやし	92
241	森	THICK WOODS	シン	もり	93
242	松	PINE	ショウ	まつ	93
243	竹	BAMBOO	チク	たけ	93
244	都	METROPOLIS ・ METROPOLIS OF TOKYO	ト ・ ツ	みやこ	93
245	京	CAPITAL ・ TOKYO ・ KYOTO	キョウ ・ ケイ		94
246	政	POLITICAL ADMINISTRATION	セイ ・ ショウ	まつりごと	94
247	府	URBAN PREFECTURE ・ GOVERNMENT OFFICE	フ		94
248	戸	DOOR ・ HOUSEHOLD	コ	と	94
249	所	PLACE ・ PARTICLE OF NOMINALIZATION	ショ	ところ ・ -ところ ・ どころ	95
250	至	COME TO	シ	いた.る	95
251	致	BRING ABOUT ・ DO HUMBLY	チ	いた.す	95
252	屋	HOUSE ・ SMALL SHOP	オク	や	95
253	室	ROOM	シツ	むろ	96
254	古	OLD	コ	ふる.い ・ ふる- ・ -ふる.す	96
255	居	BE PRESENT ・ RESIDE	キョ	い.る ・ -い ・ お.る*	96
256	局	BUREAU ・ LIMITED PART ・ SITUATION	キョク		96
257	故	OLD ・ INCIDENT ・ REASON	コ	ゆえ	97
258	胡	NATIVES OF ANCIENT CHINA	コ ・ ゴ ・ ウ		97
259	湖	LAKE	コ	みずうみ	97
260	固	SOLID ・ FIRM	コ	かた.める ・ かた.まる ・ かた.まり ・ かた.い	97
261	箇	COUNTER FOR ITEMS	カ		98
262	個	INDIVIDUAL ・ GENERAL COUNTER	コ ・ カ*		98
263	且	AS WELL AS		か.つ	98
264	組	ORGANIZE ・ ASSEMBLE	ソ	く.む ・ くみ ・ -ぐみ	98
265	夕	EVENING	セキ	ゆう	99
266	外	OUTSIDE	ガイ ・ ゲ	そと ・ ほか ・ はず.す ・ はず.れる	99
267	多	MANY	タ	おおい	99
268	汐	(EVENING) TIDE	セキ	しお	99
269	名	NAME	メイ ・ ミョウ	な ・ -な	100
270	天	HEAVEN	テン	あめ ・ あま-	100
271	未	NOT YET	ミ	いま.だ* ・ ま.だ*	100
272	末	LAST PART	マツ ・ バツ	すえ	100
273	味	TASTE	ミ	あじ ・ あじ.わう	101
274	来	COME	ライ	く.る ・ きた.る ・ きた.す	101
275	新	NEW	シン	あたら.しい ・ あら.た ・ あら- ・ にい-	101
276	親	PARENT ・ RELATIVES ・ INTIMATE	シン	おや ・ おや- ・ した.しい ・ した.しむ	101
277	欠	LACK	ケツ	か.ける ・ か.く ・ か.かす	102
278	次	NEXT	ジ ・ シ	つ.ぐ ・ つぎ	102
279	席	SEAT	セキ		102
280	度	DEGREE ・ TIME	ド ・ ト ・ タク	たび	102
281	渡	CROSS	ト	わた.る ・ -わた.る ・ わた.す	103
282	限	LIMIT	ゲン	かぎ.る ・ かぎ.り ・ -かぎ.り	103
283	銀	SILVER	ギン		103
284	根	ROOT	コン	ね ・ -ね	103
285	良	GOOD	リョウ	よ.い ・ -よ.い ・ い.い*	104
286	郎	YOUNG MAN ・ MALE NAME SUFFIX	ロウ		104
287	廊	CORRIDOR	ロウ		104
288	食	EAT ・ FOOD	ショク ・ ジキ	く.う ・ く.らう ・ た.べる	104
289	飲	DRINK	イン	の.む	105
290	官	GOVERNMENT ・ GOVERNMENT OFFICIAL	カン		105
291	館	PUBLIC BUILDING	カン	やかた	105
292	宿	LODGE	シュク	やど ・ やど.る ・ やど.す	105
293	犬	DOG	ケン	いぬ ・ いぬ-	106
294	太	GREAT ・ THICK	タイ ・ タ	ふと.い ・ ふと.る	106
295	器	VESSEL ・ INSTRUMENT	キ	うつわ	106
296	凶	MISFORTUNE ・ EVIL	キョウ		106
297	区	DIVIDE INTO SECTIONS ・ DISTRICT ・ WARD	ク		107
298	図	DRAWING	ズ ・ ト	はか.る	107
299	番	NUMERICAL ORDER ・ WATCH	バン		107
300	号	NUMBER ・ DESIGNATION ・ SIGN	ゴウ		107
301	品	ARTICLE ・ GRADE OF EXCELLENCE ・ CLASSIFICATION	ヒン	しな	108
302	楽	PLEASURE ・ COMFORTABLE ・ MUSIC	ガク ・ ラク	たの.しい ・ たの.しむ	108
303	薬	DRUG	ヤク	くすり	108
304	周	PERIPHERY	シュウ	まわ.り	108
305	週	WEEK	シュウ		109
306	調	TONE ・ INVESTIGATE ・ PREPARE	チョウ	しら.べる ・ しら.べ ・ ととの.う ・ ととの.える	109
307	束	TIE UP ・ BUNDLE	ソク	たば ・ たば.ねる ・ つか*	109
308	整	PUT IN ORDER	セイ	ととの.える ・ ととの.う	109
309	数	NUMBER	スウ ・ ス	かず ・ かぞ.える	110
310	類	KIND	ルイ	たぐい	110
311	示	SHOW	ジ ・ シ	しめ.す	110
312	禁	PROHIBIT	キン		110
313	礼	ETIQUETTE ・ RITE	レイ ・ ライ		111
314	社	COMPANY ・ SOCIETY ・ SHINTO SHRINE	シャ	やしろ	111
315	申	REPORT ・ SPEAK HUMBLY	シン	もうす ・ もうし-	111
316	神	GOD	シン ・ ジン	かみ ・ かん- ・ こう-	111
317	員	MEMBER	イン		112
318	質	QUALITY ・ MATTER ・ PAWN	シツ ・ シチ ・ チ		112
319	党	PARTY	トウ		112
320	堂	HALL	ドウ		112
321	常	NORMAL ・ REGULAR	ジョウ	つね ・ とこ-	113
322	賞	PRIZE	ショウ		113
323	償	RECOMPENSE	ショウ	つぐな.う	113
324	掌	PALM OF ONE'S HAND ・ TAKE CHARGE OF	ショウ	てのひら*	113
325	覚	PERCEIVE ・ WAKE UP ・ COMMIT TO MEMORY	カク	おぼ.える ・ さ.ます ・ さ.める ・ さと.る**	114
326	悟	AWAKE TO	ゴ	さと.る	114
327	感	SENSE	カン		114
328	央	CENTER	オウ		114
329	映	REFLECT ・ PROJECT	エイ	うつ.る ・ うつ.す ・ は.える ・ -ば.え	115
330	決	DECIDE	ケツ	き.める ・ -ぎ.め ・ き.まる	115
331	快	PLEASANT	カイ	こころよ.い	115
332	英	DISTINGUISHED ・ ENGLAND	エイ		115
333	並	LINE UP	ヘイ	なみ ・ な.み ・ なら.べる ・ なら.ぶ ・ なら.びに	116
334	平	FLAT ・ CALM	ヘイ ・ ビョウ	たい.ら ・ -だいら ・ ひら ・ ひら-	116
335	半	HALF	ハン	なか.ば	116
